Building Name,Filename,Coordinates,Date,Metadata tags,Notes/Description/Caption,,
,,,,,,,
Academic Building,2984292345_7d77643bee_o.jpg,"30.615908133283238, -96.34076212432655",1913,,Academic Building under construction,,
Academic Building,2965611292_501791049d_o.jpg,"30.615908133283238, -96.34076212432655",ca. 1923,,Academic Building at night with Prexy's Moon,,
Administration,2899648928_ccf81fa408_o.jpg,"30.618725756513324, -96.33645646159434",,,Front view of Admin from distance,,
Administration,2899642214_b896043559_o.jpg,"30.618725756513324, -96.33645646159434",,,Front view of Admin  ,,
Administration,2898798775_ef49e7f251_o.jpg,"30.618725756513324, -96.33645646159434",,,Side view of Admin,,
Administration,2898791873_19f26fafdc_o.jpg,"30.618725756513324, -96.33645646159434",,,Front view of Admin with old cars,,
Administration,2899630068_e2b491a6c9_o.jpg,"30.618725756513324, -96.33645646159434",,,Admin under construction,,
Aggieland Inn,2841091758_919b49bf1a_o.jpg,"30.616552615006437, -96.34442090702312",1930,,Corner view of Aggieland Inn,,*Note: Aggieland Inn 1925-1966; located on north side of campus south of Walton Hall along Houston Street
Aggieland Inn,4666887996_7c66e1e191_o.jpg,"30.616552615006437, -96.34442090702312",1930,,Front view of Aggieland Inn,,*Note: Aggieland Inn 1925-1966; located on north side of campus south of Walton Hall along Houston Street
Aggieland Inn,3886996923_6cc63a2269_o.jpg,"30.616552615006437, -96.34442090702312",1930,,Aggieland Inn with old cars,,*Note: Aggieland Inn 1925-1966; located on north side of campus south of Walton Hall along Houston Street
All Faith's Chapel,2841107862_b5caefdbd2_o.jpg,"30.61550848534145, -96.34367080087095",1957,,Photo of All Faith's Chapel with students,,
All Faith's Chapel,3907329368_b34c281055_o.jpg,"30.61550848534145, -96.34367080087095",1957,,All Faith's Chapel at night,,
All Faith's Chapel,2840273389_6188a82552_o.jpg,"30.61550848534145, -96.34367080087095",1957,,All Faith's Chapel in color,,
Animal Industries,3533228157_8b8b017258_o.jpg,"30.617327105868576, -96.33719726754354",,,Animal Industries from a distance,,
Animal Industries,2840310999_cb274fafe3_o.jpg,"30.617327105868576, -96.33719726754354",,,Animal Industries front view with old cars,,
Animal Industries,2840332487_b06e3c6bb2_o.jpg,"30.617327105868576, -96.33719726754354",,,Animal Industries side view,,
Animal Industries,2841134970_a6208ef284_o.jpg,"30.617327105868576, -96.33719726754354",,,Animal Industries under construction,,
Annex,4174700840_6545718646_o.jpg,"30.616194966502317, -96.33833229327028",,,Annex under construction with stairwell,,
Annex,4174700810_8a94a99002_o.jpg,"30.616194966502317, -96.33833229327028",,, Annex under construction,,
Annex,4174700916_48e33fc68f_o.jpg,"30.616194966502317, -96.33833229327028",,,Annex Catwalk,,
Assembly Hall,2840344949_855b45753d_o.jpg,"30.61529653129861, -96.3435467907112",,,Front view of Assembly Hall,, 
Assembly Hall,2841179704_e288c05e8b_o.jpg,"30.61529653129861, -96.3435467907112",,,Assembly Hall with snow,,
Assembly Hall,2841179288_ba422bed3d_o.jpg,"30.61529653129861, -96.3435467907112",,,Assemblly Hall,,
Austin Hall,2822920424_9f00d476fa_o.jpg,"30.616605164310066, -96.34174563585798",,,Austin Hall with water tower,,*Note: 1888-1955
Austin Hall,2822913804_32af8e10fd_o.jpg,"30.616605164310066, -96.34174563585798",,,Austin Hall front view,,*Note: 1888-1955
Austin Hall,2822917060_1c8b0ea45f_o.jpg,"30.616605164310066, -96.34174563585798",,,Austin Hall with students hanging from the wall,,*Note: 1888-1955
Austin Hall,2822079521_d205e1dda4_o.jpg,"30.616605164310066, -96.34174563585798",1895,,Austin Hall with students lined up,,*Note: 1888-1955
Bagley Hall,2841198212_14aa446b05_o.jpg,"30.616646614636597, -96.34090143877452",1925,,Bagley Hall with water tower,,*Note: Bagley Hall 1904-1972; built where Harrington Education Tower now stands
Bagley Hall,2841197736_eef97de254_o.jpg,"30.616646614636597, -96.34090143877452",1905,,Bagley Hall from sky,,*Note: Bagley Hall 1904-1972; built where Harrington Education Tower now stands
Bagley Hall,2840360213_3442653acc_o.jpg,"30.616646614636597, -96.34090143877452",1904,,Bagley Hall front view,,*Note: Bagley Hall 1904-1972; built where Harrington Education Tower now stands
Bagley Hall,4793683467_7728ed65dd_o.jpg,"30.616646614636597, -96.34090143877452",1904,,Textile Building,,
Bell Building,4052662315_c0d34defdf_o.jpg,"30.615802197402747, -96.34755621873339",,,Bell Building unfinished,,
Bell Building,4052662343_606c4bfa4b_o.jpg,"30.615802197402747, -96.34755621873339",,,Bell Building  ,,
Bell Tower,3228488007_7bb96fb679_o.jpg,"30.613181670477225, -96.34473295563066",1987,,Photo of Bell Tower with sky,,
Bell Tower,3228482337_ff3363a233_o.jpg,"30.613181670477225, -96.34473295563066",1984,,photo of Bell Tower with Academic Building and student biking,,
Bell Tower,3229337138_12861d2009_o.jpg,"30.613181670477225, -96.34473295563066",1984,,Bell Tower under construction,,
Bell Tower,3228480879_b8e271c3d2_o.jpg,"30.613181670477225, -96.34473295563066",1984,,Bell Tower in color,,
Bizzell,2846446212_ea446c2be4_o.jpg,"30.614170276709736, -96.34130296084979",,,Front view of Bizzell with students,,*Note: 1918-2017
Bizzell,2845612265_9bbbeacecf_o.jpg,"30.614170276709736, -96.34130296084979",,,Front view of Bizzell ,,*Note: 1918-2017
Bolton Hall,2846904190_ecdd25b8d3_o.jpg,"30.616335623314793, -96.34164684735612",,,Front view of Bolton with students,,
Bolton Hall,2846893424_6544eb758a_o.jpg,"30.616335623314793, -96.34164684735612",,,Front view of Bolton with labels,,
Cain Hall,4052787911_f42fd48707_o.jpg,"30.61138006352002, -96.34239950302734",,,Cain Hall ,,*Note: 1974-2016
Cain Hall,4053529276_f54fc46e8f_o.jpg,"30.61138006352002, -96.34239950302734",,,Cain Hall sign,,*Note: 1974-2016
Cain Pool,2846140605_592628f8e7_o.jpg,"30.610256560253482, -96.3428180469205",1974,,Students jumping into Cain Pool,,*Note: Cain Pool 1962-1997
Cain Pool,2846979844_63d222058c_o.jpg,"30.610256560253482, -96.3428180469205",1997,,Cain Pool being demolished,,*Note: Cain Pool 1962-1997
Cain Pool,2846145579_6e09d2fa00_o.jpg,"30.610256560253482, -96.3428180469205",1980,,Cain pool in color,,*Note: Cain Pool 1962-1997
Carpenter Shop,3480249241_2bca69f076_o.jpg,"30.61594739848028, -96.3405429105616",1883,,Carpenter's Shops,,
Carpenter Shop,3534027820_17991cb32e_o.jpg,"30.61594739848028, -96.3405429105616",1883,,Drawing of Carpenter's Shops,,
Century Tree,2984383353_eb698a8de8_o.jpg,"30.61591873065132, -96.34133647593396",,,Century Tree,,
Chemistry and Veterinary Science Building,2846222441_1cfe25b117_o.jpg,"30.616082164559465, -96.34027231806671",1903,,Chemistry and Veterinary Science Building from front,,"*Note: 1902-1929; Marker in front of Cushing, but some publications state that Cushing was built on the site of Chem/Vet (https://myaggienation.com/campus_evolution/demolished_buildings/chemistry-and-veterinary-building-1902-1929/article_7ccc8b10-1378-11e3-b62a-001a4bcf887a.html)"
Chemistry and Veterinary Science Building,2847057860_5e2df32307_o.jpg,"30.616082164559465, -96.34027231806671",1903,,Chemistry and Veterinary Science Building with students,,"*Note: 1902-1929; Marker in front of Cushing, but some publications state that Cushing was built on the site of Chem/Vet (https://myaggienation.com/campus_evolution/demolished_buildings/chemistry-and-veterinary-building-1902-1929/article_7ccc8b10-1378-11e3-b62a-001a4bcf887a.html)"
Chemistry and Veterinary Science Building,2846223361_9a195b29fd_o.jpg,"30.616082164559465, -96.34027231806671",1920,,Chemistry and Veterinary Science Building from side,,"*Note: 1902-1929; Marker in front of Cushing, but some publications state that Cushing was built on the site of Chem/Vet (https://myaggienation.com/campus_evolution/demolished_buildings/chemistry-and-veterinary-building-1902-1929/article_7ccc8b10-1378-11e3-b62a-001a4bcf887a.html)"
Chemistry Building,3907328630_b8bff4f063_o.jpg,"30.617963759663823, -96.3402119614921",,,Chemistry Building front view,,
Chemistry Building,2871088400_11e5233a86_o.jpg,"30.617963759663823, -96.3402119614921",,,Chemistry building front view with students,,
Chemistry Building,2870240903_502551935e_o.jpg,"30.617963759663823, -96.3402119614921",,,Chemistry building with construction,,
Chemistry Building,2870243001_44bd500bd5_o.jpg,"30.617963759663823, -96.3402119614921",,,Chemistry building side view,,
Chemistry Building,2871073992_953d31ae2a_o.jpg,"30.617963759663823, -96.3402119614921",,,Students having snowball fight by chemistry building,,
Chemistry Building,2871075370_10e9a9d284_o.jpg,"30.617963759663823, -96.3402119614921",,,Students walking down steps of chemistry building,,
Civil Engineering,3842965770_55d0d0b28f_o.jpg,"30.619679002376873, -96.33894522032836",1950,,Vet Science Class in front of Civil Engineering,,
Civil Engineering,4053124577_48daee1aa5_o.jpg,"30.619679002376873, -96.33894522032836",,,Civil Engineering Building front view,,
Civil Engineering,4053866274_f03f8a9480_o.jpg,"30.619679002376873, -96.33894522032836",,,Side view of Civil Engineering,,
Civil Engineering,4053124747_e8ea69c08e_o.jpg,"30.619679002376873, -96.33894522032836",,,Civil Engineering with old cars,,
Coke Building,3906557807_b614fe9509_o.jpg,"30.61515374167003, -96.34183844920439",1961,,Coke building at night,,
Coke Building,4054115226_251c32abbc_o.jpg,"30.61515374167003, -96.34183844920439",,,Coke building under construction,,
Corps Dorms,3057069412_7696a7d0b0_o.jpg,"30.61339842675238, -96.33671827033635",1939,,Photo of Corps Dorms,,
Corps Dorms,3057067742_2c29b13045_o.jpg,"30.61339842675238, -96.33671827033635",,,Students sitting in front of Corps Dorms,,
Corps Dorms,3057019448_ae01633f31_o.jpg,"30.61339842675238, -96.33671827033635",1939,,Corps Dorms under construction,,
Corps Dorms,3057069694_0cc033f497_o.jpg, ,,,Students on Corps Dorms roof,,*Note: Does not appear to be the 1939 Corps dorms
Corps Dorms,3056232275_01a33d2491_o.jpg,"30.61452232434103, -96.33771453900513",1975,,Aggie Band and Corp in front of dorms,,
Cushing Library,4755106245_607573aeaa_o,"30.616453537388985, -96.33992135896837",,,Cushing Library,,
Cushing Library,4770913309_74bd91f0d3_o,"30.616453537388985, -96.33992135896837",,,Cushing Library,,
Cushing Library,4770913705_d429bcf73b_o,"30.616453537388985, -96.33992135896837",,,Cushing Library,,
Cushing Library,4770914503_e0218d174c_o,"30.616453537388985, -96.33992135896837",,,Cushing Library,,
Cushing Library,4789831797_b424833c7d_o,"30.616453537388985, -96.33992135896837",,,Cushing Library,,
DeWare Field House,4079207364_a70ff35aa6_o.jpg,"30.610703394499346, -96.34207638207091",1934,,Outside of DeWare Field House,,*Note: DeWare Field House 1924-1997
DeWare Field House,3906552865_047a46e9fb_o.jpg,"30.610703394499346, -96.34207638207091",1940,,Side view of DeWare Field House,,*Note: DeWare Field House 1924-1997
Downs Natatorium,4092723831_fc12757cd1_o.jpg,"30.61076181789082, -96.34231247976857",1970,,Side view of Downs Natatorium,,*Note: P.L. Downs Natatorium 1932-1997; NEED BETTER PICS
Downs Natatorium,4093489424_615e605108_o.jpg,"30.61076181789082, -96.34231247976857",1980,,Window of Downs Natatorium with students,,*Note: P.L. Downs Natatorium 1932-1997; NEED BETTER PICS
Downs Natatorium,4092723305_172863fe58_o.jpg,"30.61076181789082, -96.34231247976857",1934,,Inside of Downs Natatorium,,*Note: P.L. Downs Natatorium 1932-1997; NEED BETTER PICS
Duncan Dining Hall,4112585599_be53f8d948_o,"30.61207940404126, -96.33538784222367",,,Duncan Dining Hall,,
Duncan Dining Hall,4113353456_dda2d14eef_o,"30.61207940404126, -96.33538784222367",,,Duncan Dining Hall,,
Duncan Dining Hall,4113353330_a69a391ea3_o,"30.61207940404126, -96.33538784222367",,,Duncan Dining Hall,,
Eller Oceanogray & Meteorology Building,3542797466_5127e68a9f_o,"30.617728183708586, -96.33663924663776",,,Eller Oceanography & Meteorology Building,,
Eller Oceanogray & Meteorology Building,3542800662_186c95d9e6_o,"30.617728183708586, -96.33663924663776",,,Eller Oceanography & Meteorology Building,,
Eller Oceanogray & Meteorology Building,3920170547_05aab2be80_o,"30.617728183708586, -96.33663924663776",,,Eller Oceanography & Meteorology Building,,
English Annex,3542861686_a34c509374_o,"30.617276519841965, -96.34217877336395",,,English Annex,,
Eugene Butler Hall,2846935100_4961044b1f_o,"30.614913555337992, -96.33895168949444",,,Eugene Butler Hall,,
Eugene Butler Hall,4052743215_19a06e62a7_o,"30.614913555337992, -96.33895168949444",,,Eugene Butler Hall,,
Extension Service/Military Science,3543982826_fef63d43f4_o.jpg,"30.61418244534702, -96.339558021743",,,Front view of Extension Service/Military Science,,
Extension Service/Military Science,3543982400_10525f3129_o.jpg,"30.61418244534702, -96.339558021743",circa 1924,,Extension Service under construction,,
Fermier Hall,3544012524_4b19576c13_o.jpg,"30.61690371989985, -96.34173760740724",,,Front view of Fermier Hall,,
Fermier Hall,4793683987_2f331fd61c_o.jpg,"30.61690371989985, -96.34173760740724",1964?,,Front view of Fermier Hall with trees,,
Fermier Hall,3543202479_607cb4f383_o.jpg,"30.61690371989985, -96.34173760740724",,,Other side of Fermier Hall,,
Fish Pond,3544033630_83d7e778ac_o.jpg,"30.6166226677423, -96.3434723431386",,,Fish Pond in full swing,,
Fish Pond,3544033498_63042fc28c_o.jpg,"30.6166226677423, -96.3434723431386",Circa 1980s,,Fish in Fish Pond,,
Fish Pond,3544033330_9ba780e81b_o.jpg,"30.6166226677423, -96.3434723431386",,,Construction on Fish Pond,,
Foster Hall,3543255873_352cb67f18_o,"30.61516150391027, -96.3412189637293",,,Foster Hall,,
Foster Hall,3543256589_fa5664c449_o,"30.61516150391027, -96.3412189637293",,,Foster Hall,,
Foster Hall,3544065924_ebd9e3f7ba_o,"30.61516150391027, -96.3412189637293",,,Foster Hall,,
Foster Hall,4794313964_83ab8843de_o,"30.61516150391027, -96.3412189637293",,,Foster Hall,,
Francis,3842176055_4cce1aec47_o.jpg,"30.617298638697424, -96.33988156274027",,,Professor teaching class in Francis,,
Francis,4793685027_97f4086da4_o.jpg,"30.617330727544715, -96.33978340823616",1964,,Front view of Francis,,
Francis,3543276167_33a6ed95c4_o.jpg,"30.617330727544715, -96.33978340823616",,,Francis under construction,,
G Rollie White,3907340040_be624d9213_o.jpg,"30.61194928443141, -96.34021759851571",,,Inside of G Rollie White,,*Note: 1954-2013
G Rollie White,3543288117_894d1aa8a7_o.jpg,"30.61194928443141, -96.34021759851571",,,G Rollie White from distance,,*Note: 1954-2013
G Rollie White,3907339540_4004187789_o.jpg,"30.61194928443141, -96.34021759851571",,,G Rollie White front view,,*Note: 1954-2013
Gathright Hall,3543456974_3dc5248f8f_o.jpg,"30.616603472606258, -96.34268400027541",ca 1920s,,Front view of Gathright Hall,,*Note: 1876-1933
Gathright Hall,3542649557_12b66958b3_o.jpg,"30.616603472606258, -96.34268400027541",,,Gathright and Old Main,,*Old Main burned 1912
Gathright Hall,3542639603_62c1c0c1d5_o.jpg,"30.616603472606258, -96.34268400027541",,,Gathright with Aggie Band?,,*Note: 1876-1933
Gathright Hall,3542636855_564d4638fb_o.jpg,"30.616603472606258, -96.34268400027541",,,Gathright Hall with girl on toy horse,,*Note: 1876-1933
Glasscock,2840668202_97aeae72cd_o.jpg,"30.617475367146408, -96.33842285602896",,,Glasscock with concrete and lights in front,,
Glasscock,2840667240_0365c56daa_o.jpg,"30.617475367146408, -96.33842285602896",,,Glasscock with people on steps,,
Glasscock,2840667644_9819e707bc_o.jpg,"30.617475367146408, -96.33842285602896",1932,,Glassock front view,,
Goodwin Hall,3480264935_5a677b07f0_o.jpg,"30.614359664701794, -96.34153920827862",1924,,Goodwin Hall in snow,,* Note: 1908-1989
Goodwin Hall,4114662593_b48d3bb7d2_o.jpg,"30.614359664701794, -96.34153920827862",1934,,Goodwin Hall with an old car,,* Note: 1908-1989
Goodwin Hall,4115432336_3d26283450_o.jpg,"30.614359664701794, -96.34153920827862",1909,,Front view of Goodwin Hall,,* Note: 1908-1989
Guion,2822942140_33f1c23f11_o.jpg,"30.6134849454031, -96.34022700399792",,,Corner of Guion,,*Note: 1918-2971
Guion,2822107737_757f82a6c4_o.jpg,"30.6134849454031, -96.34022700399792",circa 1970,,Guion falling apart,,*Note: 1918-2971
Guion,2822938840_34e1dbd485_o.jpg,"30.6134849454031, -96.34022700399792",,,Front view of Guion,,*Note: 1918-2971
Guion Hall,2822107347_acfec0ec8e_o,"30.613304326641657, -96.33995244628555",,,Guion Hall,,*Note: 1918-1971
